Latitude,Longitude
46.53662,6.58833
46.53257,6.58685
46.52786,6.61601
46.52934,6.62275
46.52292,6.62627
46.52301,6.63239
46.52362,6.63364
46.5176,6.63102
46.52018,6.63399
46.52353,6.6388
